UBIGEO,VIVIENDA,Estatal,EquipoEdu,CalidadEdu,Edad
200109,17,1,3,3,8
200109,41,1,3,3,13
200109,41,1,3,3,11
200109,53,2,3,4,10
200109,65,2,3,3,17
200109,65,1,3,3,12
200109,65,1,3,3,8
200109,77,1,2,3,6
200410,69,1,3,3,6
200410,283,1,3,3,15
200410,283,1,3,3,7
200410,283,1,3,3,6
211101,9,1,2,3,14
211101,9,1,3,2,10
211101,9,1,3,3,7
211002,26,2,2,4,11
211002,54,1,2,2,8
211002,54,1,2,2,6
211002,71,1,5,3,15
211002,111,1,3,3,15
211002,111,2,3,3,12
211101,18,1,3,3,17
211101,18,1,3,3,9
211101,33,2,3,3,9
211101,97,1,2,4,15
211101,97,1,3,3,9
211101,97,1,3,3,6
211101,110,1,3,3,12
210301,44,2,3,3,13
210301,141,2,3,3,15
210301,141,2,3,3,13
210111,246,1,4,4,14
210111,246,1,4,3,14
210111,254,1,3,3,14
210111,254,1,3,3,12
210111,254,1,3,3,10
210208,78,1,5,3,11
210208,88,1,5,5,13
210307,27,1,3,3,11
210307,27,1,3,3,8
210307,28,1,3,3,16
210307,28,1,3,3,14
210307,28,1,3,3,12
210307,28,1,3,3,8
210307,28,1,3,3,6
210307,139,1,3,3,12
220804,66,1,3,5,6
220804,198,1,2,3,8
220803,1,2,3,3,12
220803,9,1,5,5,11
220803,17,1,2,3,16
220502,116,1,3,2,13
220502,302,1,3,3,6
220502,304,1,2,3,11
220502,304,1,2,3,8
220502,305,1,2,3,16
220502,305,1,3,3,14
220502,305,1,2,3,6
220502,306,1,3,3,8
220909,15,1,3,3,9
220909,100,1,5,5,16
220909,100,1,3,3,13
220909,12,1,3,3,9
220909,83,1,3,3,16
220909,83,1,3,3,13
220201,10,1,2,2,8
220201,40,1,3,4,17
220201,40,1,3,3,13
220201,83,1,3,3,14
220201,83,1,3,3,14
220201,127,1,4,3,12
220201,127,1,3,3,7
220601,101,1,2,3,12
220708,25,1,3,3,17
220205,48,1,3,3,6
220910,93,1,3,4,13
220910,93,1,4,3,10
220910,93,1,3,3,8
220910,94,1,2,3,17
220910,95,1,3,3,9
220910,95,1,3,3,6
220910,369,1,3,3,14
220910,369,1,3,4,7
220910,371,1,3,4,13
230110,9,1,5,3,12
230110,13,1,3,3,14
230110,16,1,3,4,17
230110,137,1,3,3,17
230108,10,1,4,3,17
230108,10,1,3,3,9
230108,19,1,3,3,14
230108,19,1,5,2,7
230108,26,1,3,3,11
230108,34,1,2,3,11
230108,34,1,4,4,12
230108,50,1,2,3,8
230110,16,1,4,3,15
230110,16,1,3,3,12
230110,72,1,5,2,10
230101,12,1,3,3,11
230101,12,1,3,3,10
230101,12,1,3,3,8
230101,113,1,2,4,13
230110,7,1,5,2,11
230110,20,2,3,3,9
230110,20,2,3,3,6
230110,1,2,3,3,9
230110,49,2,3,3,16
230110,49,2,3,3,13
230110,97,2,3,4,15
230401,67,1,3,3,9
230401,133,1,3,3,10
230401,151,1,3,4,11
230102,88,1,4,3,13
230102,89,1,3,3,7
230105,73,2,5,3,11
230105,73,1,3,2,9
