UBIGEO,VIVIENDA,AguaAcceso,Electricidad
60801,59,1,1
60801,94,1,1
60801,104,1,1
60801,147,1,1
60614,2,1,1
60614,17,1,1
60614,58,1,1
60614,84,1,1
60614,109,1,1
60601,78,2,1
60601,104,1,1
60601,151,2,1
60601,177,2,1
60401,11,1,1
60401,22,1,1
60401,44,1,1
60401,57,1,1
60401,66,1,1
60401,78,1,1
60201,13,1,1
60201,36,1,1
60201,71,1,1
60201,92,1,1
60904,19,1,1
60904,20,1,1
60904,67,1,1
60904,68,1,1
60904,69,1,1
60801,42,1,1
60801,44,1,1
60801,45,1,1
60801,46,1,1
60801,123,2,1
60801,124,1,1
60801,125,1,1
60801,126,1,1
60801,1,1,1
60801,74,1,1
60801,101,1,1
60801,103,1,1
60801,120,1,1
60801,131,1,1
61304,6,1,0
61304,7,1,1
61304,9,1,1
61304,35,2,0
61304,36,2,0
61304,37,2,0
61304,43,2,0
61304,44,2,0
60411,26,2,1
60411,27,1,1
60411,135,1,1
60411,136,1,1
60411,137,1,1
60411,140,1,1
60409,15,1,1
60409,17,1,0
60409,19,1,1
60409,22,1,1
60409,85,1,1
60409,87,1,1
60409,88,1,1
60409,98,1,1
60401,89,1,1
60401,92,1,1
60401,235,1,1
60401,239,1,1
60401,240,1,1
60401,242,1,1
60405,30,2,1
60405,72,1,1
60405,86,2,1
60405,113,1,1
60405,127,1,1
60405,153,1,1
60405,10,1,1
60405,11,1,1
60405,13,1,1
60405,72,1,1
60405,73,1,1
60405,75,1,1
60304,97,1,0
60304,99,1,0
60304,100,1,0
60304,209,1,1
60304,212,2,1
60304,215,1,1
60304,216,1,1
60304,98,1,1
60304,99,1,1
60304,100,1,1
60304,101,1,1
60304,212,1,1
60304,216,1,0
60701,25,1,1
60701,26,2,1
60701,27,2,1
60701,174,1,1
60701,175,1,1
60701,178,1,1
61104,64,1,1
61104,168,1,1
61104,169,1,1
61104,176,1,1
61104,177,1,1
61107,55,1,1
61107,56,1,1
61107,58,1,1
61107,59,1,1
61107,157,1,1
61107,169,1,1
61201,1,1,0
61201,8,1,0
61201,9,1,0
61201,84,1,1
61201,85,1,1
61201,87,1,1
61201,88,1,0
61201,89,1,1
61202,5,1,1
61202,16,1,1
61202,21,1,1
61202,29,1,1
61202,33,1,1
61202,42,1,1
61202,49,1,1
61202,57,1,1
60108,90,1,1
60108,91,1,1
60108,93,1,1
60108,235,1,1
60108,236,2,1
60108,240,1,1
60111,21,1,1
60111,23,1,1
60111,113,1,1
60111,119,1,1
60106,39,1,1
60106,40,1,1
60106,45,2,1
60106,117,2,1
60106,118,2,1
60106,119,1,1
60106,120,2,1
61004,3,1,1
61004,8,1,1
61004,16,1,1
61004,23,1,1
61004,31,1,1
61004,46,1,1
61004,56,1,1
61004,66,1,1
61004,29,1,1
61004,30,1,1
61004,31,1,1
61004,140,1,1
61004,145,1,1
61004,148,1,1
61004,149,1,1
61004,155,1,1
61002,101,1,1
61002,102,1,1
61002,103,1,1
61002,105,1,1
61002,268,1,1
70106,7,1,1
70106,35,1,1
70106,50,1,1
70106,77,1,1
70106,92,1,1
70106,119,1,1
70106,10,1,1
70106,41,1,1
70106,57,1,1
70106,87,1,1
70106,102,1,1
70106,131,1,1
70106,14,1,1
70106,24,1,1
70106,53,1,1
70106,64,1,1
70106,78,1,1
70106,93,1,1
70106,31,1,1
70106,49,1,1
70106,125,1,1
70106,12,1,1
70106,30,1,1
70106,48,1,1
70106,100,1,1
70106,118,1,1
70106,3,1,1
70106,29,1,1
70106,41,1,1
70106,54,1,1
70106,80,1,1
70106,21,1,1
70106,35,1,1
70106,61,1,1
70106,74,2,1
70106,90,1,1
70106,101,1,1
70106,22,1,1
70106,52,1,1
70106,40,1,1
70106,105,1,1
70106,128,1,1
70106,150,1,1
70106,192,1,0
70103,17,1,1
70103,72,1,1
70103,130,1,1
70103,157,1,1
70102,3,1,1
70102,32,1,1
70102,61,1,1
70102,90,1,1
